sampleID	projectID	Race	Continent
SRR12542332	PRJNA596776	USA	North_America
SRR12508323	PRJNA659014	Taiwan	Asia
SRR12508324	PRJNA659014	Taiwan	Asia
SRR12508325	PRJNA659014	Taiwan	Asia
SRR12508326	PRJNA659014	Taiwan	Asia
SRR12508327	PRJNA659014	Taiwan	Asia
SRR12508328	PRJNA659014	Taiwan	Asia
SRR12508329	PRJNA659014	Taiwan	Asia
SRR12508330	PRJNA659014	Taiwan	Asia
SRR12508331	PRJNA659014	Taiwan	Asia
SRR12508332	PRJNA659014	Taiwan	Asia
SRR12508333	PRJNA659014	Taiwan	Asia
SRR12508334	PRJNA659014	Taiwan	Asia
SRR12508335	PRJNA659014	Taiwan	Asia
SRR12508336	PRJNA659014	Taiwan	Asia
SRR12508337	PRJNA659014	Taiwan	Asia
SRR12508338	PRJNA659014	Taiwan	Asia
SRR12508339	PRJNA659014	Taiwan	Asia
SRR12508340	PRJNA659014	Taiwan	Asia
SRR12508341	PRJNA659014	Taiwan	Asia
SRR12508342	PRJNA659014	Taiwan	Asia
SRR12508343	PRJNA659014	Taiwan	Asia
SRR12508344	PRJNA659014	Taiwan	Asia
SRR12508345	PRJNA659014	Taiwan	Asia
SRR12508346	PRJNA659014	Taiwan	Asia
SRR12508347	PRJNA659014	Taiwan	Asia
SRR12508348	PRJNA659014	Taiwan	Asia
SRR12508349	PRJNA659014	Taiwan	Asia
SRR12508350	PRJNA659014	Taiwan	Asia
SRR12508351	PRJNA659014	Taiwan	Asia
SRR12508352	PRJNA659014	Taiwan	Asia
SRR12508353	PRJNA659014	Taiwan	Asia
SRR12508354	PRJNA659014	Taiwan	Asia
SRR12508356	PRJNA659014	Taiwan	Asia
SRR12508357	PRJNA659014	Taiwan	Asia
SRR12508358	PRJNA659014	Taiwan	Asia
SRR12508359	PRJNA659014	Taiwan	Asia
SRR12508360	PRJNA659014	Taiwan	Asia
SRR12508361	PRJNA659014	Taiwan	Asia
SRR12508362	PRJNA659014	Taiwan	Asia
SRR12508363	PRJNA659014	Taiwan	Asia
SRR12508364	PRJNA659014	Taiwan	Asia
SRR12508365	PRJNA659014	Taiwan	Asia
SRR12508367	PRJNA659014	Taiwan	Asia
SRR12508368	PRJNA659014	Taiwan	Asia
SRR12508369	PRJNA659014	Taiwan	Asia
SRR12508370	PRJNA659014	Taiwan	Asia
SRR12508371	PRJNA659014	Taiwan	Asia
SRR12508372	PRJNA659014	Taiwan	Asia
SRR12508373	PRJNA659014	Taiwan	Asia
SRR12508374	PRJNA659014	Taiwan	Asia
SRR12508375	PRJNA659014	Taiwan	Asia
SRR12508376	PRJNA659014	Taiwan	Asia
SRR12508377	PRJNA659014	Taiwan	Asia
SRR12508378	PRJNA659014	Taiwan	Asia
SRR12508379	PRJNA659014	Taiwan	Asia
SRR12508380	PRJNA659014	Taiwan	Asia
SRR12508381	PRJNA659014	Taiwan	Asia
SRR12508383	PRJNA659014	Taiwan	Asia
SRR12508384	PRJNA659014	Taiwan	Asia
SRR12508385	PRJNA659014	Taiwan	Asia
SRR12508386	PRJNA659014	Taiwan	Asia
SRR12508387	PRJNA659014	Taiwan	Asia
